"id","age","male","eduyears","employed","income"
700,17,0,9.5,1,100
701,40,1,7,1,350
702,42,1,3.5,1,240
702,17,1,3.5,1,200
703,42,1,3.5,1,450
704,76,1,17,1,NA
704,47,1,17,1,3000
704,32,0,17,1,3000
705,40,1,9.5,1,450
705,16,1,9.5,1,245
706,41,1,9.5,1,1150
707,60,1,9.5,1,NA
707,57,0,7,1,800
708,49,0,7,1,700
708,25,1,14,1,700
709,36,1,17,1,1300
709,35,0,17,1,1500
710,36,1,17,1,1500
710,36,0,17,1,2000
711,51,1,12.5,1,1000
711,22,0,12.5,1,324
711,19,0,12.5,1,195
711,17,0,9.5,1,220
711,19,0,9.5,1,180
712,43,1,7,1,400
712,45,0,12.5,1,600
713,28,0,12.5,1,500
713,29,1,12.5,1,2500
714,48,1,3.5,1,520
714,51,0,9.5,1,400
714,20,1,12.5,1,200
715,50,1,7,1,800
715,21,1,7,1,100
715,18,0,14,1,50
719,80,1,9.5,1,1150
720,53,1,7,1,800
720,24,1,9.5,1,500
720,19,1,9.5,1,400
721,34,1,12.5,1,1650
721,53,0,7,1,2500
722,38,1,12.5,1,800
722,54,0,7,1,1251
723,27,1,7,1,500
724,51,1,7,1,1220
725,43,1,9.5,1,1600
726,33,1,14,1,1880
727,52,0,7,1,200
728,51,1,7,1,800
728,52,0,7,1,200
729,49,1,9.5,1,600
729,46,0,17,1,1000
729,24,1,12.5,1,NA
732,54,1,7,1,300
732,53,0,12.5,1,350
733,52,1,7,1,150
735,43,1,12.5,1,NA
735,40,0,17,1,1500
736,29,1,12.5,1,900
737,21,0,7,1,250
738,52,1,14,1,6000
738,52,0,12.5,1,800
740,44,1,9.5,1,885
740,45,0,9.5,1,100
741,42,1,7,1,1000
743,47,1,9.5,1,5000
744,42,1,9.5,1,1000
744,39,0,9.5,1,830
744,21,0,14,1,500
746,48,1,12.5,1,1000
746,45,0,17,1,1200
747,41,0,17,1,800
748,41,0,17,1,800
749,32,1,12.5,1,800
749,29,0,12.5,1,150
751,34,1,9.5,1,1180
751,34,0,14,1,1600
752,46,1,9.5,1,NA
753,55,1,3.5,1,600
753,50,1,7,1,1200
753,53,0,7,1,800
754,59,1,9.5,1,300
755,47,1,7,1,465
756,51,1,7,1,800
756,28,1,12.5,1,500
759,29,0,9.5,1,450
761,53,1,7,1,300
762,29,1,9.5,1,750
762,27,0,9.5,1,750
763,24,1,3.5,1,150
764,52,1,7,1,1305
764,50,0,7,1,850
764,27,0,9.5,1,400
764,20,1,9.5,1,1000
765,56,1,3.5,1,1460
766,52,0,17,1,1300
767,53,0,17,1,1200
771,58,0,12.5,1,NA
777,44,1,7,1,1268
778,45,1,12.5,1,700
779,32,1,14,1,1600
779,30,0,14,1,1000
780,57,0,17,1,3000
780,60,0,17,1,3000
781,36,1,17,1,800
784,30,1,12.5,1,850
787,29,1,14,1,3500
788,30,1,14,1,3000
790,61,1,12.5,1,3400
790,25,0,12.5,1,150
790,20,0,14,1,200
791,44,1,12.5,1,900
791,26,0,14,1,840
792,45,1,9.5,1,2100
795,58,1,17,1,1100
795,60,0,17,1,800
796,70,1,12.5,1,NA
796,71,0,7,1,NA
797,66,1,12.5,1,2500
797,65,0,12.5,1,100
797,27,1,17,1,2800
798,24,0,7,1,350
